id;sku;product_name;short_description;price;discount;discount_rate;review_count;order_count;inventory_status;is_visible;stock_item_qty;brand_id;brand_name
205533241;8132587151231;Laptop Lenovo IdeaPad 5 15ITL05 82FG01HPVN i5-1135G7|16GB|512GB|Intel Iris Xe|WIN 11 - Hàng chính hãng;Laptop Lenovo IdeaPad 5 15ITL05 82FG01HPVN Kiểu dáng mỏng nhẹ, thiết kế lịch lãmLaptop Lenovo IdeaPad 5 15ITL05 82FG01HPVN  sở hữu thiết kế vuông vắn, các góc được bo cong tinh tế, độ hoàn thiện cao...;16740000;0;0;0;;available;;1000.0;18604;Lenovo
143172648;3918136022176;Laptop Acer Aspire 7 A715-42G-R4XX (AMD R5-5500U/ 8GB DDR4/ 256GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS/ Win11) - Hàng Chính Hãng;Hiệu năng mạnh mẽAcer Aspire 7 là chiếc laptop gaming 2021 được tích hợp rất nhiều sức mạnh vào khung máy. Với NVIDIA graphic GTX 1650 mới nhất giúp tăng khả năng xử lý công việc và giải trí của bạn,...;15480000;0;0;0;;available;;1000.0;18803;Acer
247667408;1041032646502;Laptop Dell Vostro 5620 P117F001AGR | Intel Core i7 _ 1260P | 16GB | 512GB SSD PCIe | 16.0 inch Full HD+ | Win 11 _ Office 2021 | Finger | LED KEY | Hàng chính hãng;CPU12th Generation Intel Alder Lake Core i7 _ 1260P Processor (2.10 GHz, 18MB Cache Up to 4.70 GHz, 12 Cores 16 Threads)Memory16GB DDr4 Bus 3200Mhz (2 Slot, 8GB x 02, Dual Chanel)Hard Disk512GB P...;25590000;0;0;0;;available;;1000.0;18805;Dell
273217831;1476978831829;LapTop Dell Inspiron 14 5430 (i5P165W11SL2050) | Core i5 _ 1340P | 16GB | 512GB SSD PCIe | RTX 2050 with 4GB | 14 inch 2,5K 100% sRGB | Win 11 _ OFFICE 2021 Hàng Chính Hãng 100% ;THÔNG SỐ KỸ THUẬTCPU 13th Generation Intel Raptor Lake Core i5 _ 1340P Processor (1.9 GHz, 12M Cache, Up to 4.60 GHz, 12 Cores 16 Threads)Memory 16GB LPDDR5 Bus 4800MHz Memory OnboardHard Disk 512GB P...;27250000;0;0;0;;available;;1000.0;18805;Dell
273607610;9075602531101;Laptop HP 240 G9 6L1Y4PA (Core i7 1255U/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhựa) - Hàng Chính Hãng - Bảo Hành 12 Tháng Tại HP Việt Nam;Laptop HP 240 G9 6L1Y4PA - Phù hợp cho dân Marketing, văn phòngHP 240 G9 6L1Y4PA là mẫu laptop hoàn hảo dành cho sinh viên, nhân viên văn phòng, dân Marketing bởi nhu cầu làm việc chủ yếu với các tác...;20790000;0;0;0;;available;;1000.0;17825;HP
275288865;7599775524752;"Laptop Dell Latitude 5310 | Core i5-10310U Ram 16GB PCIe 256GB 13.3"" FHD - Hàng Chính Hãng";"Đánh giá chi tiết Laptop Dell Latitude 5310 | Core i5-10310U Ram 16GB PCIe 256GB 13.3"" FHD Hiệu suất mạnh mẽNăng lượng suốt cả ngày:  có thời lượng pin dài nhất thế giới trong máy tính xách tay d...";6880000;0;0;0;;available;;1000.0;18805;Dell
275516477;6820588135798;Laptop HP 14 - ep0112TU 8C5L1PA (Intel Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Win 11 | Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng;Thiết kế mỏng nhẹ ấn tượngLaptop HP 14-ep0112TU 8C5L1PA là chiếc  sở hữu thiết kế ấn tượng mới màu Natural Silver- Bạc tinh tế và sang trọng, các đường viền của máy được bo tròn mềm mại với phần log...;15490000;3300000;18;0;;available;;1000.0;17825;HP
275786108;9158756128733;Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002) - Hàng Chính Hãng;"       Laptop Acer Aspire A315 44P R9W8 R7 5700U (.002) chiếc laptop sở hữu một thiết kế vô cùng thanh lịch, tao nhã đi cùng với nó là cấu hình ""nhẹ nhàng"" phù hợp cho các bạn học sinh, sinh viên ...";10990000;2000000;15;0;;available;;1000.0;18803;Acer
271411857;8545448337226;Laptop HP 15 fd0083TU 8D736PA (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc/ Vỏ nhựa) - Hàng Chính Hãng;BỘ XỬ LÝDòng CPUCore i7Công nghệ CPUCore i7 Raptor LakeMã CPU1355UTốc độ CPU1.7 GHzTần số turbo tối đaUp to 5.0 GHzSố lõi CPU10 CoresSố luồng12 ThreadsBộ nhớ đệm12Mb...;22290000;0;0;0;;available;;1000.0;17825;HP
180396090;1698288460298;"Laptop Lenovo Ideapad 3 15ITL6 i5 1135G7/8GB/512GB/15.6""F/Win11/(82H801P9VN)/Xám - Hàng chính hãng";Laptop Lenovo Ideapad 3 15ITL6 i5 (82H801P9VN) sở hữu thiết kế mỏng nhẹ cùng hiệu năng mạnh mẽ đến từ CPU Intel thế hệ thứ 11 là người bạn đồng hành lý tưởng cho học sinh, sinh viên hay nhân viên văn ...;15490000;0;0;0;;available;;1000.0;18604;Lenovo
199053702;5368016479040;"Laptop Lenovo ThinkPad E14 Gen 4 21E300DPVA | Core i5 - 1235U | 8GB | 512GB | 14"" Full HD | Finger | LED key | Hàng chính hãng"; Laptop Lenovo Thinkpad E14 GEN 4 xử lý đa tác vụ với đầu não khủngCấu hình mạnh mẽ của Laptop Lenovo Thinkpad E14 GEN 4 core i5 cho bạn nguồn lực xử lý mọi việc gồm bộ vi xử lý đến từ đội xanh Int...;18790000;0;0;0;;available;;1000.0;18604;Lenovo
271949876;8290199260904;Laptop Lenovo V15 G3 IAP (82TT00ARVN) Core i3 _ 1215U | 8GB | 256GB SSD PCIe | Win 11 | 15.6 inch Full HD IPS| Hàng Chính Hãng;THÔNG SỐ KỸ THUẬTCPU          12th Generation Intel Alder Lake Core i3 _ 1215U Processor (1.20 GHz, 10MB Cache Up to 4.40 GHz, 6 Cores 8 Threads)Memory          8GB DDr4 Bus 3200Mhz (4GB Onboard, 4GB ...;9550000;0;0;0;;available;;1000.0;18604;Lenovo
275786114;8723031924226;Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W) - Hàng Chính Hãng;       Laptop Asus Vivobook 15 X1504VA i7 1355U (NJ023W) được trang bị bộ vi xử lý thế hệ thứ 13 mới nhất của Intel, mang lại hiệu suất cao có thể xử lý đa tác vụ mượt mà hay vận hành trơn tru các...;18690000;4300000;19;0;;available;;1000.0;17826;Asus
274502092;6250678295055;Laptop Dell Latitude 3540 71021487 (Intel Core i5-1335U | 8GB | 256GB | Intel Iris Xe Graphics | 15.6 inch FHD | Fedora | Đen) - Hàng Chính Hãng  - Bảo Hành 12 Tháng;Trong muôn vàn những dòng laptop cũ mới trên thị trường, Dell Latitude rất được dân văn phòng, công nghệ thông tin săn đón. Laptop Dell Latitude 3540 71021487 cũng vậy bởi hiệu suất cực mạnh và ổn địn...;14690000;5300000;27;0;;available;;1000.0;18805;Dell
275786133;2259894967847;Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA) - Hàng Chính Hãng;       Laptop HP Pavilion 15 eg2082TU i5 (7C0Q5PA) gây ấn tượng bởi sự đẳng cấp đến từ thiết kế thanh lịch, sang trọng cùng hiệu năng vượt bậc nhờ vào con chip Intel thế hệ 12 mạnh mẽ, đáp ứng đầy...;16290000;3500000;18;0;;available;;1000.0;17825;HP
275786137;5816561175747;Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA) - Hàng Chính Hãng;       Thông tin sản phẩmKhả năng đáp ứng hiệu quả và mượt mà mọi tác vụ làm việc và giải trí nhờ sức mạnh của chip Intel Gen 12 cùng RAM 16 GB, laptop HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA) c...;17290000;3700000;18;0;;available;;1000.0;17825;HP
275786084;9495067682329;Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001) - Hàng Chính Hãng;       Bộ xử lýCông nghệ CPU:Intel Core i3 Alder Lake - 1215USố nhân:6Số luồng:8Tốc độ CPU:1.20 GHzTốc độ tối đa:Turbo Boost 4.4 GHzBộ nhớ đệm:10 MBBộ nhớ RAM, Ổ cứngRAM:8 GBLoại RAM:DDR5 2 khe (1...;9790000;1200000;11;0;;available;;1000.0;18803;Acer
275764465;3105590729334;Laptop Dell Inspiron 15 3520 25P2312 (Intel Core i5-1235U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng;THÔNG SỐ KỸ THUẬTBộ vi xử lý (CPU) Tên bộ vi xử lýIntel Core i5-1235U ProcessorTốc độ, số nhân số luồngUp to 4.40GHz, 10 Cores, 12 ThreadsP-Cores: 2 Cores, 4 Threads, 1.30GHz Base...;15090000;4900000;25;0;;available;;1000.0;18805;Dell
67982880;2084606252245;LapTop Lenovo V14 IIL - 82C400W3VN | Intel Core i5 _ 1035G1 | 4GB | 256GB SSD PCIe | VGA INTEL  | 14 inch HD | FreeDos | Hàng Chính Hãng;Thông Số Kỹ Thuật CPU 10th Generation Intel Core i5 _ 1035G1 Processor (1.00 GHz, 6M Cache, up to 3.60 GHz)Memory 4GB DDr4 Bus 2666Mhz Onboard (1 x Slot RAM)Storage 256GB PCIe NVMe M.2 SSD (Support x ...;9850000;0;0;3;;available;;1000.0;18604;Lenovo
249950252;3999819476710;"Máy Tính Xách Tay Dell Inspiron 15 3511 i3 1115G4/4GB/256GB/15.6""F/OfficeHS/Win10/Đen - Hàng Chính Hãng";"Máy Tính Xách Tay Dell Inspiron 15 3511 i3 1115G4/4GB/256GB/15.6""F/OfficeHS/Win10/Đen - Hàng Chính Hãng với thiết kế thanh lịch, mạnh mẽ và mang trong mình một hiệu năng ổn định đủ giải quyết tốt các ...";9300000;0;0;0;;available;;1000.0;18805;Dell
272526551;1406883844536;Máy Tính Xách Tay Laptop Acer Aspire 3 A314-36M-37FM ( NX.KDMSV.004 ) | Bạc | Intel Core i3 - N305 | RAM 8GB | 256GB SSD | Intel UHD Graphics | 14 inch FHD | Win11 | 1Yr - Hàng Chính Hãng;THÔNG SỐ KỸ THUẬTThương hiệuAcerModelNX.KDMSV.004 Hệ điều hànhWindows 11 CPUIntel Core i3-N305 (1.25GHz up to 3.80GHz, 6MB Cache)Màn hình14 inch FHD(1920 x 1080) IPS LCD 60HzR...;9000000;0;0;0;;available;;1000.0;18803;Acer
275786112;7379276765861;Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W) - Hàng Chính Hãng;       Một gương mặt thân quen trong thị trường laptop học tập - văn phòng, laptop Asus Vivobook X1404ZA i5 1235U (NK376W) sở hữu hơi hướng thời thượng, cao cấp với vẻ ngoài tinh tế đầy thu hút, đ...;14690000;1800000;11;0;;available;;1000.0;17826;Asus
275786139;6395700700488;Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA) - Hàng Chính Hãng;       Tích hợp tuyệt vời với đa dạng chế độ làm việc trong ngày, đẩy cao hiệu suất tư duy sáng tạo cũng như nâng hiệu quả công việc của bạn lên cao nhất với laptop HP 15 fd0234TU i5 1334U (9Q969P...;16490000;3300000;17;0;;available;;1000.0;17825;HP
275786062;5030939276655;Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5340W1) - Hàng Chính Hãng;       Với phân khúc giá gần 20 triệu, laptop Dell Inspiron 15 3530 i5 1334U (N5I5340W1) mang đến cho người dùng sự kết hợp hoàn hảo giữa hiệu năng mạnh mẽ, nhiều tính năng hiện đại và có một ngoạ...;18490000;1500000;8;0;;available;;1000.0;18805;Dell
275597788;3092303926278;Laptop Dell Inspiron 16 5640 71035923 (Intel Core 5 120U | 16GB | 1TB | 16 inch FHD + | Win 11 | Office | Xanh) - Hàng Chính Hãng - Bảo Hành 12 Tháng;Laptop Dell Inspiron 16 5640 71035923Laptop Dell Inspiron 16 5640 71035923 là một thiết bị di động hiện đại, được thiết kế để cung cấp hiệu suất ổn định và đa năng cho cả công việc và giải trí. Với t...;22390000;6500000;22;0;;available;;1000.0;18805;Dell
275786120;5730291003054;Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/16GB/1TB/4GB RTX3050/144Hz/Win11 (HN229W) - Hàng Chính Hãng;       Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN229W) với cấu trúc mạnh mẽ, hiệu năng vượt trội cùng mức giá hoàn toàn ưu đãi tại Thế Giới Di Động. Đây chính xác là mẫu laptop gaming được ...;25990000;0;0;0;;available;;1000.0;17826;Asus
274400193;2315495179003;Laptop HP 15 fd-0235TU 9Q970PA (Core i5-1334U/ 16GB/ 512GB/15.6 inch FHD/ Windows 11/ Natural silver) - Hàng chính hãng;Bộ vi xử lý Bộ vi xử lýIntel Core i5-1334U Tốc độup to 4.6 GHz, 10 cores 12 threadsBộ nhớ đệm12MB Bộ nhớ trong (RAM)Dung lượng16 GB DDR4-3200 MHz RAM (2 x 8 GB...;19090000;0;0;0;;available;;1000.0;17825;HP
